8/1p3K2/3k4/PQ1p1q2/8/2P5/2P5/8 w - - 9 64
8/1p4K1/3k4/PQ1pq3/8/2P5/2P5/8 w - - 11 65
k3b1r1/1pq2p2/p1n1pQn1/P1PpP1Br/8/2PB1NP1/2P2P2/R3R1K1 w - - 1 23
k3b1r1/1pq2p2/p1n1pQ2/P1Pp3r/5Bn1/2PB1NP1/2P2PK1/R3R3 w - - 2 25
8/1p3K2/3k4/PQ1p4/8/2P2q2/2P5/8 w - - 25 72
8/1p4K1/3k4/PQ1p1q2/8/2P5/2P5/8 b - - 56 87
1k1r3r/ppqbnp2/2n1pQpp/2ppP3/3P3P/P1P2N2/2PBBPP1/R3K2R w KQ - 6 14
8/1p6/3k1n2/Pp1ppPK1/8/2P5/2P5/8 w - - 0 49
8/1p3P2/3k2K1/Pp1p4/8/2P5/2P1p3/8 b - - 0 52
rnb1k1nr/ppq2ppp/4p3/2ppP3/3P2Q1/P1P5/2P2PPP/R1B1KBNR b KQkq - 2 7
k1r4r/1pqbnp2/p1n1pQpp/P1PpP3/7P/2P2N2/2PBBPP1/R3K2R w KQ - 0 17
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3
8/1p6/3k1PK1/Pp1p4/8/2P1p3/2P5/8 b - - 0 51
rnbqk1nr/pp3ppp/4p3/2ppP3/3P4/P1b5/1PP2PPP/R1BQKBNR w KQkq - 0 6
8/1p1k2K1/8/Pp1p1Q2/8/2P5/2P5/4q3 b - - 1 55
4K3/1p6/3k4/PQ1p4/8/2P1q3/2P5/8 w - - 23 71
8/1p6/3k1PK1/Pp1p4/8/2P5/2P1p3/8 w - - 0 52
k3b1r1/1pB2p2/p1n1pn2/P1Pp3r/8/2PB1NP1/2P2PK1/R3R3 w - - 0 26
1kr5/1p1n1p2/4p3/Pp1p2P1/3B4/2P2PK1/2P5/4R3 w - - 3 38
k3b1r1/1pq2p2/p1n1pQn1/P1PpP1Br/8/2PB1NP1/2P2PK1/R3R3 b - - 2 23
2k3r1/1p1n3R/8/Pp1ppPp1/8/2P1B1K1/2P5/8 w - - 2 43
k1r5/1p3p2/p3p3/PbnpB3/6P1/2PB1PK1/2P5/4R3 w - - 5 35
8/1p3K2/3k4/PQ1p4/4q3/2P5/2P5/8 b - - 8 63
r3k2r/ppqbnp2/2n1p1pp/2ppP3/3P2QP/P1P2N2/2PBBPP1/R3K2R w KQkq - 2 12
8/1p4K1/3k4/PQ1p1q2/8/2P5/2P5/8 b - - 10 64
8/1p1n4/3k1B2/Pp1ppPK1/8/2P5/2P5/8 b - - 6 48
8/1p4K1/3k4/PQ1pq3/8/2P5/2P5/8 w - - 1 60
1k4r1/1p1n1p2/4p3/Pp1p2P1/3B1P2/2P3K1/2P5/7R b - - 2 39
8/1p3K2/3k4/PQ1pq3/8/2P5/2P5/8 b - - 54 86
8/1p6/3k1K2/Pp1ppP2/8/2P5/2P5/8 b - - 0 49
8/1p4K1/3k4/PQ1p4/8/2P3q1/2P5/8 w - - 19 69
k1r5/1p3p2/4p3/PpnpB3/6P1/2P2PK1/2P5/4R3 w - - 0 36
8/1p3K2/3kq3/PQ1p4/8/2P5/2P5/8 w - - 3 61
5n2/1p6/3k1B2/Pp1ppP2/6K1/2P5/2P5/8 b - - 4 47
r3k2r/ppqbnp2/2n1p1pp/2ppP3/3P1Q1P/P1P2N2/2PBBPP1/R3K2R b KQkq - 3 12
8/1p4K1/3k4/PQ1p2q1/8/2P5/2P5/8 w - - 49 84
rnb1k1nr/ppq2ppp/4p3/2ppP3/3P4/P1P5/2P2PPP/R1BQKBNR w KQkq - 1 7
k1r5/1p3p2/p1b1p3/P1npB3/6P1/2PB1P2/2P3K1/4R3 w - - 3 34
8/1p3K2/3k4/PQ1p3q/8/2P5/2P5/8 w - - 39 79
8/1p6/3k2K1/PQ1p4/4q3/2P5/2P5/8 w - - 31 75
r3k1nr/ppqb1p2/2n1p1pp/2ppP3/3P2QP/P1P2N2/2PBBPP1/R3K2R b KQkq - 1 11
k2r3r/ppqbnp2/2n1pQpp/2PpP3/P6P/2P2N2/2PBBPP1/R3K2R b KQ - 0 15
8/1p4K1/3k4/PQ1p2q1/8/2P5/2P5/8 w - - 15 67
k1r4r/1pqbnp2/p1n1pQpp/P1PpP3/7P/2PB1N2/2PB1PP1/R3K2R b KQ - 1 17
1k4r1/1p1n3R/8/Pp1ppPp1/8/2P1B1K1/2P5/8 b - - 1 42
8/1p3K2/3k4/PQ1p1q2/8/2P5/2P5/8 w - - 13 66
8/1p2qK2/3k4/PQ1p4/8/2P5/2P5/8 w - - 29 74
8/1p4K1/3kq3/PQ1p4/8/2P5/2P5/8 b - - 4 61
8/1p3K2/3k4/PQ1p4/8/2P1q3/2P5/8 b - - 24 71
2kr3r/ppqbnp2/2n1pQpp/2ppP3/3P3P/P1P2N2/2PBBPP1/R3K2R b KQ - 5 13
8/1p3K2/3k4/PQ1pq3/8/2P5/2P5/8 b - - 2 60
5n2/1p1k4/8/Pp1ppPB1/8/2P3K1/2P5/8 w - - 1 46
8/1p4K1/3k4/PQ1p4/6q1/2P5/2P5/8 w - - 37 78
5K2/1p6/3k4/PQ1p4/5q2/2P5/2P5/8 w - - 35 77
8/1p4K1/3k4/PQ1p1q2/8/2P5/2P5/8 b - - 48 83
2k2n2/1p6/8/Pp1ppPB1/8/2P3K1/2P5/8 b - - 0 45
k3b2r/1pB2p2/p1n1pn2/P1Pp3R/8/2PB1NP1/2P2PK1/R7 b - - 0 27
k6r/1p3p2/p1b1p3/P1npB3/6P1/2PB1P2/2P3K1/4R3 b - - 2 33
5n2/1p6/3k1B2/Pp1ppP2/8/2P3K1/2P5/8 w - - 3 47
8/1p3K2/3k4/PQ1p1q2/8/2P5/2P5/8 w - - 55 87
1kr5/1p1n1p2/4p3/Pp1p2P1/3B1P2/2P3K1/2P5/4R3 b - - 0 38
5Q2/1p1k2K1/8/Pp1p4/8/2P5/2P1p3/8 b - - 0 54
k7/1pBb1p2/p1n1pn2/P1Pp3r/3N4/2PB2P1/2P2PK1/4R3 b - - 3 29
8/1p4K1/3k4/PQ1p3q/8/2P5/2P5/8 b - - 40 79
k5r1/1pqb1p2/p1n1pQn1/P1PpP1Br/8/2PB1N2/2P2PP1/R3R1K1 w - - 3 22
rnbqk1nr/pp3ppp/4p3/2ppP3/1b1P4/P1N5/1PP2PPP/R1BQKBNR b KQkq - 0 5
8/1p4K1/3k4/PQ1p2q1/8/2P5/2P5/8 w - - 41 80
4K3/1p6/3k4/PQ1p4/8/2P2q2/2P5/8 b - - 26 72
k7/1pB2p2/p1b1p3/P1Pp3r/4n3/2PB2P1/2P2PK1/4R3 w - - 0 31
k3b1r1/1pB2p2/p1n1pn2/P1Pp3r/8/2PB1NP1/2P2PK1/R6R b - - 1 26
k5rr/1pqbnp2/p1n1pQ1p/P1PpP1P1/8/2PB1N2/2PB1PP1/R4RK1 b - - 0 19
2k3r1/1p1n1R2/8/Pp1ppPp1/8/2P1B1K1/2P5/8 b - - 3 43
8/1p3K2/3k4/PQ1pq3/8/2P5/2P5/8 b - - 12 65
k5rr/1pqbnp2/p1n1pQ1p/P1PpP1p1/7P/2PB1N2/2PB1PP1/R4RK1 w - - 0 19
8/1p1k1PK1/8/Pp1p4/8/2P5/2P1p3/8 w - - 3 54
8/1p3K2/3k4/PQ1p4/6q1/2P5/2P5/8 b - - 38 78
5K2/1p6/3k4/PQ1p1q2/8/2P5/2P5/8 w - - 59 89
k7/1pBb1p2/p1n1pn2/P1Pp3r/8/2PB1NP1/2P2PK1/4R3 w - - 2 29
8/1p1k1K2/4q3/Pp1p4/8/2PQ4/2P5/8 w - - 6 58
k7/1pB2p2/p1b1p3/P1np3r/6P1/2PB1P2/2P3K1/4R3 b - - 0 32
8/1p3K2/3k4/PQ1p3q/8/2P5/2P5/8 w - - 43 81
8/1p2kPK1/8/Pp1p4/8/2P5/2P1p3/8 b - - 2 53
k1r5/1p1n1p2/4p3/Pp1p2P1/3B4/2P2PK1/2P5/4R3 b - - 2 37
k7/1pBb1p2/p1n1p3/P1Pp3r/3Nn3/2PB2P1/2P2PK1/4R3 w - - 4 30
rnbqk1nr/pp3ppp/4p3/2ppP3/1b1P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 5
r3k1nr/ppqb1p1p/2n1p1p1/2ppP3/3P2Q1/P1P2N2/2PB1PPP/R3KB1R w KQkq - 4 10
k5rr/1pqbnp2/p1n1pQ2/P1PpP1p1/8/2PB1N2/2PB1PP1/R4RK1 w - - 0 20
k5rr/1pqbnp2/p1n1pQpp/P1PpP3/7P/2PB1N2/2PB1PP1/R4RK1 b - - 3 18
5K2/1p6/3k4/PQ1p4/6q1/2P5/2P5/8 b - - 58 88
8/1p4K1/3k4/PQ1p4/6q1/2P5/2P5/8 w - - 33 76
k7/1pB2p2/p1b1p3/P1Pp3r/4n3/2PB1PP1/2P3K1/4R3 b - - 0 31
k1r5/1p3p2/p3p3/PBnpB3/6P1/2P2PK1/2P5/4R3 b - - 0 35
4K3/1p6/3k4/PQ1p4/8/2P2q2/2P5/8 b - - 22 70
k1r5/1p3p2/4p3/PpnpB1P1/8/2P2PK1/2P5/4R3 b - - 0 36
k5rr/1pqb1p2/p1n1pQn1/P1PpP1B1/8/2PB1N2/2P2PP1/R3R1K1 b - - 2 21
k7/1pBb1p2/p1N1p3/P1Pp3r/4n3/2PB2P1/2P2PK1/4R3 b - - 0 30
8/1p1k2K1/4q3/Pp1p4/8/2PQ4/2P5/8 b - - 3 56
k1r4r/ppqbnp2/2n1pQpp/2PpP3/P6P/2P2N2/2PBBPP1/R3K2R w KQ - 1 16
4K3/1p6/3k4/PQ1p4/8/2P1q3/2P5/8 w - - 27 73
k3b2r/1pB2p2/p1n1pn2/P1Pp3r/8/2PB1NP1/2P2PK1/R6R w - - 2 27
8/1p1k2K1/8/Pp1pq3/8/2PQ4/2P5/8 w - - 4 57
8/1p4K1/3k4/PQ1p1q2/8/2P5/2P5/8 b - - 14 66
8/1p4K1/3k4/PQ1p4/5q2/2P5/2P5/8 b - - 36 77
8/1p3K2/3k4/PQ1p2q1/8/2P5/2P5/8 b - - 16 67
rn2k1nr/ppqb1p1p/4p1p1/2ppP3/3P2Q1/P1P2N2/2PB1PPP/R3KB1R b KQkq - 3 9
5Q2/1p1k2K1/8/Pp1p4/8/2P5/2P5/4q3 w - - 0 55
8/1p4K1/3k4/PQ1p4/6q1/2P5/2P5/8 w - - 57 88
8/1p2q3/3k2K1/PQ1p4/8/2P5/2P5/8 b - - 30 74
k5r1/1pqb1p2/p1n1pQn1/P1PpP1Br/8/2PB1NP1/2P2P2/R3R1K1 b - - 0 22
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
8/1p3K2/3k4/PQ1p2q1/8/2P5/2P5/8 b - - 50 84
2k2n2/1p6/8/Pp1ppPp1/8/2P1B1K1/2P5/8 w - - 0 45
2k2R2/1p1n4/8/Pp1ppPp1/8/2P1B1K1/2P5/8 b - - 0 44
k7/1pB2p2/p1b1p3/P1np3r/8/2PB1PP1/2P3K1/4R3 w - - 0 32
2kr3r/ppqbnp2/2n1p1pp/2ppP3/3P1Q1P/P1P2N2/2PBBPP1/R3K2R w KQ - 4 13
rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2
1k4r1/1p1n1p2/8/Pp1pp1P1/3B1P2/2P3K1/2P5/7R w - - 0 40
8/1p3K2/3k4/PQ1p4/8/2P1q3/2P5/8 b - - 28 73
8/1p4K1/3kq3/Pp1p4/8/2PQ4/2P5/8 w - - 8 59
8/1p2kP2/6K1/Pp1p4/8/2P5/2P1p3/8 w - - 1 53
rn2k1nr/ppqb1p1p/4p1p1/2ppP3/3P2Q1/P1P5/2PB1PPP/R3KBNR w KQkq - 2 9
8/1p4K1/3kq3/PQ1p4/8/2P5/2P5/8 b - - 0 59
8/1p4K1/3k4/PQ1p3q/8/2P5/2P5/8 b - - 44 81
1k4r1/1p1n4/8/Pp1ppPp1/8/2P1B1K1/2P5/7R w - - 0 42
k5rr/1pqbnp2/p1n1pQpp/P1PpP3/7P/2PB1N2/2PB1PP1/R3K2R w KQ - 2 18
8/1p1k1K2/8/Pp1pq3/8/2PQ4/2P5/8 b - - 5 57
8/1p4K1/3k4/PQ1p3q/8/2P5/2P5/8 b - - 52 85
8/1p4K1/3k4/PQ1p4/4q3/2P5/2P5/8 b - - 32 75
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1
k3b1r1/1pq2p2/p1n1pQ2/P1Ppn1Br/8/2PB1NP1/2P2PK1/R3R3 w - - 0 24
k1r5/1p1n1p2/4p3/Pp1pB1P1/8/2P2PK1/2P5/4R3 w - - 1 37
5n2/1p1k4/5B2/Pp1ppP2/8/2P3K1/2P5/8 b - - 2 46
1k1r3r/ppqbnp2/2n1pQpp/2PpP3/7P/P1P2N2/2PBBPP1/R3K2R b KQ - 0 14
k2r3r/ppqbnp2/2n1pQpp/2PpP3/7P/P1P2N2/2PBBPP1/R3K2R w KQ - 1 15
8/1p6/3k2K1/Pp1p1P2/8/2P1p3/2P5/8 w - - 0 51
8/1p4K1/3k4/PQ1pq3/8/2P5/2P5/8 w - - 53 86
k3b3/1pB2p2/p1n1pn2/P1Pp3r/8/2PB1NP1/2P2PK1/R7 w - - 0 28
8/1p3K2/3k4/PQ1p4/8/2P2q2/2P5/8 w - - 21 70
8/1p4K1/3k4/PQ1pq3/8/2P5/2P5/8 w - - 45 82
8/1p1k2K1/4q3/Pp1p1Q2/8/2P5/2P5/8 w - - 2 56
k5rr/1pqb1p2/p1n1pQn1/P1PpP1B1/8/2PB1N2/2P2PP1/R4RK1 w - - 1 21
8/1p3K2/3k4/PQ1p1q2/8/2P5/2P5/8 w - - 47 83
k3b3/1pB2p2/p1n1pn2/P1Pp3r/8/2PB1NP1/2P2PK1/4R3 b - - 1 28
