FEN,Player,Move,Score,Mate
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Kg8,-0.04,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Kh7,-0.04,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rg8,0.0,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rf8,-5.87,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Re8,-6.02,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rd8,-6.07,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rbc8,-3.13,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Ra8,-6.04,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rbb7,-5.53,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rb6,-6.64,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rb5,-7.88,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rb4,-8.13,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rxb3,-6.34,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Qf8,0.0,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Qe8,-5.86,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Qd8,-5.88,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Qd7,-7.53,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Qf6,-20.53,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Qd6,-15.29,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Qg5,-8.86,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Qc5,-9.63,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Qh4,-14.16,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Qb4,-6.13,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Qa3,-6.25,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rcc8,-5.3,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rd7,-6.4,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rcb7,-6.4,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Ra7,-6.32,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rc6,-8.71,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rc5,-9.67,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rc4,-8.08,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rc3,-7.73,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rc2,-8.34,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,Rc1,-8.58,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,g6,-0.42,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,f6,-2.08,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,h5,-0.06,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,g5,-1.73,False
1r5k/2r1qpp1/4p2p/3pP3/3P2R1/1P4RP/6PK/3Q4 b - - 31 46,BLACK,f5,-0.43,False
8/5PQ1/4p2p/3p3k/3P2pq/8/6P1/6K1 b - - 28 96,BLACK,Qd8,-58.66,False
8/5PQ1/4p2p/3p3k/3P2pq/8/6P1/6K1 b - - 28 96,BLACK,Qe7,-62.64,False
8/5PQ1/4p2p/3p3k/3P2pq/8/6P1/6K1 b - - 28 96,BLACK,Qf6,-0.04,False
8/5PQ1/4p2p/3p3k/3P2pq/8/6P1/6K1 b - - 28 96,BLACK,Qg5,-0.09,False
8/5PQ1/4p2p/3p3k/3P2pq/8/6P1/6K1 b - - 28 96,BLACK,Qh3,-0.05,False
8/5PQ1/4p2p/3p3k/3P2pq/8/6P1/6K1 b - - 28 96,BLACK,Qg3,-0.07,False
8/5PQ1/4p2p/3p3k/3P2pq/8/6P1/6K1 b - - 28 96,BLACK,Qh2+,-0.03,True
8/5PQ1/4p2p/3p3k/3P2pq/8/6P1/6K1 b - - 28 96,BLACK,Qf2+,-0.03,True
8/5PQ1/4p2p/3p3k/3P2pq/8/6P1/6K1 b - - 28 96,BLACK,Qh1+,-0.04,True
8/5PQ1/4p2p/3p3k/3P2pq/8/6P1/6K1 b - - 28 96,BLACK,Qe1+,0.0,True
8/5PQ1/4p2p/3p3k/3P2pq/8/6P1/6K1 b - - 28 96,BLACK,e5,-63.17,False
8/5PQ1/4p2p/3p3k/3P2pq/8/6P1/6K1 b - - 28 96,BLACK,g3,-7.55,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Rxf7,-6.51,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Rf6,-1.02,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Rf5,-6.41,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Rh4,-8.33,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Rfg4,0.09,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Re4,-7.76,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Rff3,0.0,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Rf2,0.06,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Rxg7,-4.31,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Rg6,-7.87,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Rg5,-8.25,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Rgg4,0.0,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Rgf3,0.09,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Re3,0.0,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Rd3,0.0,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Rc3,0.0,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Kh1,0.0,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Kg1,0.0,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Qa6,-0.15,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Qb5,-9.24,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Qc4,-8.25,False
1r5k/1r2qpp1/4p2p/3pP3/3P1R2/1P4RP/6PK/5Q2 w - - 14 38,WHITE,Qf3,0.0,False
